titulo,empresa,localizacao,link,termo_busca,fonte,score,compatibilidade,matches
IT Intern,SOCOTEC US,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/it-intern-at-socotec-us-4422627076?position=58&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=KOx%2FuyCWM5EwKzJTBVGz7g%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Intern,Borusan Pipe US,"Baytown, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/it-intern-at-borusan-pipe-us-4413944095?position=59&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=XJn1%2BqypshqkThdYrcAqcg%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Support Technician - Tier 1,ServingSchools,"Farmington, Maine, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-technician-tier-1-at-servingschools-4427037673?position=60&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=FZN1yGp9zrnMJhbJWAHQ1g%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Especialista emSuporteTécnico,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2804543/especialista-em-suporte-tecnico,Suporte Tecnico,Vagas.com,2,MINIMA,suporte*; tecnico*
Engenheiro(a) deSuporteTécnico,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815354/engenheiro-a-de-suporte-tecnico,Suporte Tecnico,Vagas.com,2,MINIMA,suporte*; tecnico*
Assistente deSuporteTécnico,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818390/assistente-de-suporte-tecnico,Suporte Tecnico,Vagas.com,2,MINIMA,suporte*; tecnico*
TécnicodeSuporteN1 - Field Service,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816740/tecnico-de-suporte-n1-field-service,Suporte Tecnico,Vagas.com,2,MINIMA,suporte*; tecnico*
Operador(a) deSuporteTécnicoMonitoramento Jr,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819810/operador-a-de-suporte-tecnico-monitoramento-jr,Suporte Tecnico,Vagas.com,2,MINIMA,suporte*; tecnico*
TécnicodeSuporteJ - Service Desk - Corporativo RJ,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815497/tecnico-de-suporte-j-service-desk-corporativo-rj,Suporte Tecnico,Vagas.com,4,BAIXA,suporte*; tecnico*; area:TI
11254 - Analista deSuporteN2,Nao informado,100% Home Office,https://www.vagas.com.br/vagas/v2817622/11254-analista-de-suporte-n2,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporteJúnior,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816835/analista-de-suporte-junior,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
SuporteAdministrativo,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819085/suporte-administrativo,Suporte Tecnico,Vagas.com,3,BAIXA,suporte*; area:TI
Assistente deSuporteao Cliente,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2810504/assistente-de-suporte-ao-cliente,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporteAcadêmico,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814900/analista-de-suporte-academico,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Assistente deSuporteao Cliente,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817302/assistente-de-suporte-ao-cliente,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista de Infraestrutura/Suporte,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815622/analista-de-infraestrutura-suporte,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporte(Folha de Pagamento),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818855/analista-de-suporte-folha-de-pagamento,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporte(Folha de Pagamento),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818858/analista-de-suporte-folha-de-pagamento,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Assistente deSuporteComercial  - Moema,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818570/assistente-de-suporte-comercial-moema,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuportede TI / Infraestrutura,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818625/analista-de-suporte-de-ti-infraestrutura,Suporte Tecnico,Vagas.com,3,BAIXA,suporte*; area:TI
Analista de Operações Jr (SuporteJurídico e Ouvidoria),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2803037/analista-de-operacoes-jr-suporte-juridico-e-ouvidoria,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporte(fiscal/ Contábil Ou Folha de Pagamento),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818860/analista-de-suporte-fiscal-contabil-ou-folha-de-pagamento,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
AnalistaSuporte(fiscal/ Contábil Ou Folha de Pagamento),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818859/analista-suporte-fiscal-contabil-ou-folha-de-pagamento,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Pessoa AnalistaSuporteOperações I - Exclusiva Pcd,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819499/pessoa-analista-suporte-operacoes-i-exclusiva-pcd,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Analista deSuporteJr (Mesa de Ajuda) | Espanhol Bilíngue,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816836/analista-de-suporte-jr-mesa-de-ajuda-espanhol-bilingue,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
Assistente deSuportede Auditoria | Campinas/SP e  Recife/PE,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814305/assistente-de-suporte-de-auditoria-campinas-sp-e-recife-pe,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
SuporteProdução - Laboratório Dle - Vaga Exclusiva para Pcd,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815785/suporte-producao-laboratorio-dle-vaga-exclusiva-para-pcd,Suporte Tecnico,Vagas.com,1,MINIMA,suporte*
TécnicoSênior,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815915/tecnico-senior,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnicode Utilidades,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817357/tecnico-de-utilidades,Suporte Tecnico,Vagas.com,3,BAIXA,tecnico*; area:TI
TécnicoAdministrativo V027424,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819205/tecnico-administrativo-v027424,Suporte Tecnico,Vagas.com,3,BAIXA,tecnico*; area:TI
TécnicoMecatrônico Pl,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2812938/tecnico-mecatronico-pl,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
TécnicoAdministrativo V027424,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818914/tecnico-administrativo-v027424,Suporte Tecnico,Vagas.com,3,BAIXA,tecnico*; area:TI
Técnicode Manutenção,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816992/tecnico-de-manutencao,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnicode Informatica N1,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816135/tecnico-de-informatica-n1,Suporte Tecnico,Vagas.com,3,BAIXA,tecnico*; area:TI
TécnicoEngenharia,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819759/tecnico-engenharia,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnico(a) de Farmácia,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814667/tecnico-a-de-farmacia,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnicode Farmácia,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2812489/tecnico-de-farmacia,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
TecnicoEngenharia,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816240/tecnico-engenharia,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnico(a) em Eletrônica,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814848/tecnico-a-em-eletronica,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Tecnicode Campo V027346,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815758/tecnico-de-campo-v027346,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnico(a) de Produção - 110977,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815844/tecnico-a-de-producao-110977,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
Técnicode Manutenção Pleno,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817931/tecnico-de-manutencao-pleno,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
AssistenteTécnico,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814123/assistente-tecnico,Suporte Tecnico,Vagas.com,1,MINIMA,tecnico*
US-Genius,Apple,"Denver, Colorado, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414157722?position=1&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=WL1AazLDnQUz9yrsTnvbOA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Tier I Technician,DMI,Estados Unidos,https://www.linkedin.com/jobs/view/tier-i-technician-at-dmi-4420991670?position=2&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=W17o2rlgCdc2ftxrCoRMrg%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Digital Support Specialist,Nymbus,"Jacksonville, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/digital-support-specialist-at-nymbus-4426521673?position=3&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=qGQZ8pH%2BhuP8ssrkH1rDUQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst,Internova Travel Group,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-internova-travel-group-4418060624?position=4&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=p0L3CbkiC9tVITJi60Nvig%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Desktop Support Tech I,Netpace Inc,"Overland Park, Kansas, Estados Unidos",https://www.linkedin.com/jobs/view/desktop-support-tech-i-at-netpace-inc-4298165196?position=5&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=5PHnvck0P6Egd1UkCNNseg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"McLean, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414170115?position=6&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=f8ER0XL2IJ2Prpvve%2FVw8A%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Tech Support Specialist,Advocate,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/tech-support-specialist-at-advocate-4337211824?position=7&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=aSuQ2d3Qg1tjrR76Ap%2Bl6w%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"Reston, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414155768?position=8&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=z0szAGUWfR0xLITBOJ7imA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"Nashville, Tenessi, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414166447?position=9&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=arV%2FQySS15DT59XVTQkvew%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,REGAL,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-specialist-at-regal-4419460325?position=10&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=GbJhsNK2D3m6krZaOILg2Q%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst,Internova Travel Group,"Beverly Hills, Califórnia, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-internova-travel-group-4397409246?position=11&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=HgaqeGxnkmc61DWczGG6Sg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Tech Support Specialist,Advocate,"San Francisco, Califórnia, Estados Unidos",https://www.linkedin.com/jobs/view/tech-support-specialist-at-advocate-4337072259?position=12&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=PIJ7aYnsejqZA7WVd8cQzQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
IT Support Representative,Patten Title Company,"Houston, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-representative-at-patten-title-company-4415111706?position=13&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=a%2BB9GOoGtidFFQ09DLzUzw%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Service Desk Technician,Dynamix,"Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/service-desk-technician-at-dynamix-4340286296?position=14&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=5vqTeBm1zHgW0k0qgDVEUA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Remote Desktop Support Representative,Talentoma,"Texas, Estados Unidos",https://www.linkedin.com/jobs/view/remote-desktop-support-representative-at-talentoma-4424671821?position=15&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=qNm5lLiZIb3Z%2B%2BYbG8PUYQ%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
"Technical Support Technician, Tier 2",Metropolis Technologies,"Chicago, Ilinóis, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-technician-tier-2-at-metropolis-technologies-4420975217?position=16&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=YFLb%2FJoptw2VDLuYsaeHlQ%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Technical Support Specialist,Tesla,"Henderson, Nevada, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-specialist-at-tesla-4420219602?position=17&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=UP%2B4lFWl7RM5kxh2Sksxog%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst,CloudShare,"Denver, Colorado, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-cloudshare-4422952071?position=18&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=6Q7IaCoCJd7XJB7q4glzzw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst,Quilt Software,"Charlotte, Carolina do Norte, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-quilt-software-4414622195?position=19&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=HzUzkQj%2Flm%2FclvqILkH2CQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
IT Support Representative,Patten Title Company,"Austin, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-representative-at-patten-title-company-4415118605?position=20&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=QXAPDqEkUW4W4fqRVY0S4g%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
US-Genius,Apple,"Richmond, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414150960?position=21&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=kvmQX4w6klWiFfYKtg31tw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
"Support Specialist, Contract",Handshake,Estados Unidos,https://www.linkedin.com/jobs/view/support-specialist-contract-at-handshake-4371647997?position=22&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=rKQF5RNV%2B8SPt5g1HRNGJQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"Woodbridge, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414150948?position=23&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=nZdMDCxxCWqGse9clr6Qfw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Help Desk Support Services Specialist,MANTECH,Estados Unidos,https://www.linkedin.com/jobs/view/help-desk-support-services-specialist-at-mantech-4406414504?position=24&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=VfvH66PV5yJ4Cek0BuvpOg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,TheraDriver,Estados Unidos,https://www.linkedin.com/jobs/view/technical-support-specialist-at-theradriver-4404300747?position=25&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=keCRjMfgWo9l3WeUQqprOA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst (Tier 2),"GCS Technologies, Inc.","Austin, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-tier-2-at-gcs-technologies-inc-4425493252?position=26&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=NTB0S2cTAfMi%2FQ3AIOXQhg%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
CORE Support Specialist I,Switch,Las Vegas e Região,https://www.linkedin.com/jobs/view/core-support-specialist-i-at-switch-4403241363?position=27&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=D8HvBxkFrPrVa8QSn4g8TA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Tier 1 Technician (LAK),IT Voice,"Lakeland, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/tier-1-technician-lak-at-it-voice-4406567577?position=28&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=6H8Q9IeCPKpwAoc3Zw5YmA%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Product Support Specialist,"Relocity, Inc.",Estados Unidos,https://www.linkedin.com/jobs/view/product-support-specialist-at-relocity-inc-4426365915?position=29&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=he1ScIJBDmEEinTVdwcLGA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"Fairfax, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4415979927?position=30&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=OVARHA7PYOh3NOrwP2IwNQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Representative I,KnowledgeLake,St. Louis,https://www.linkedin.com/jobs/view/technical-support-representative-i-at-knowledgelake-4426145908?position=31&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=diwxw6s0ZrHfGCDWtEn4FA%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Senior IT Support Administrator,WB Engineers+Consultants,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/senior-it-support-administrator-at-wb-engineers%2Bconsultants-4408870798?position=32&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=NOfL7w7AhA6n84d4KYJMJA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,The Bexar Company,"Dallas, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-specialist-at-the-bexar-company-4425640291?position=33&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=pGlATn3grvBhXnr%2FE4PnnQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,Insight Global,"Washington, Distrito de Colúmbia, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-specialist-at-insight-global-4424465859?position=34&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=%2BA0JM20Jtg35iTZ2NVSszQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst I,City of Delray Beach,"Delray Beach, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-i-at-city-of-delray-beach-4421168645?position=35&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hV7cbqFCsj17VZV9cNaRrw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,Odoo,São Francisco e Região,https://www.linkedin.com/jobs/view/technical-support-specialist-at-odoo-4425550373?position=36&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=SU4N18iSZ71%2FsRozHCvyzw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Deskside Technician I,Stefanini North America and APAC,"Charlotte, Carolina do Norte, Estados Unidos",https://www.linkedin.com/jobs/view/deskside-technician-i-at-stefanini-north-america-and-apac-4421253587?position=37&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=pPJ31%2FhyR%2F01gChDYTVDag%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
US-Genius,Apple,"Franklin, Tenessi, Estados Unidos",https://www.linkedin.com/jobs/view/us-genius-at-apple-4414169255?position=38&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=dILK2MH1qQqzakSwpzkE%2Bg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Help Desk Specialist,TECEZE,"Saint Louis, Missouri, Estados Unidos",https://www.linkedin.com/jobs/view/technical-help-desk-specialist-at-teceze-4423947801?position=39&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=eZIVhfLKQLTEJ%2FpqMGEcbw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,MindSpring Partners LLC,Nova Iorque e Região,https://www.linkedin.com/jobs/view/technical-support-specialist-at-mindspring-partners-llc-4424579247?position=40&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hdMIBhpgjc%2FJl%2BYZ3Kodkg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Product Support Specialist,Freed,"San Francisco, Califórnia, Estados Unidos",https://www.linkedin.com/jobs/view/product-support-specialist-at-freed-4401590832?position=41&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=y72rVW7TArCQ05i9Zk6VNw%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technology Support Representative II,Domino's,"Ann Arbor, Michigan, Estados Unidos",https://www.linkedin.com/jobs/view/technology-support-representative-ii-at-domino-s-4423134707?position=42&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=s%2B9%2BY632bfXgp6%2B31ucidw%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Technical Support Analyst,IRIUM,"Wichita Falls, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-irium-4253205026?position=43&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=AHQtk%2FXNLAY3I%2FL0v%2Bs%2BKg%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,Absorb Software,Estados Unidos,https://www.linkedin.com/jobs/view/technical-support-specialist-at-absorb-software-4413331836?position=44&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=IfMsv2%2FuzdcpNI3iI2HC6g%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
IT Field Support Specialist,Synergy ECP,"Annapolis Junction, Maryland, Estados Unidos",https://www.linkedin.com/jobs/view/it-field-support-specialist-at-synergy-ecp-4250718611?position=45&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hAh8I3I3oncABHkzDQANlA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Support Agent I,Renaissance Learning,Estados Unidos,https://www.linkedin.com/jobs/view/support-agent-i-at-renaissance-learning-4418024914?position=46&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=b7dwKOmYRxNmKrCWNlR90A%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Specialist,Shields Group Search,Estados Unidos,https://www.linkedin.com/jobs/view/technical-support-specialist-at-shields-group-search-4415096414?position=47&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=AXzIPqnOGwLoV8GIpKiTXA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Analyst,GlobalPoint,"Blackstone, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-analyst-at-globalpoint-4384856095?position=48&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=wAjwSVXDhUkxx0ry3GoN%2FQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Support Specialist,Robert Half,"Forsyth, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/support-specialist-at-robert-half-4426325267?position=49&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=%2Ff3nXELuvymd50YZohuCvQ%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Tech,INSPYR Solutions,"Manassas, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/technical-support-tech-at-inspyr-solutions-4414594854?position=50&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=kp1U0queSsP%2B7wfghmiX5g%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
Technical Support Representative,EBSCO Information Services,Estados Unidos,https://www.linkedin.com/jobs/view/technical-support-representative-at-ebsco-information-services-4418042319?position=51&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=A16GZz20sRb%2B8jDggK5Gdg%3D%3D,Suporte Tecnico,LinkedIn,2,MINIMA,area:TI
Remote Tech Support Specialist,Talentoma,"Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/remote-tech-support-specialist-at-talentoma-4424685347?position=52&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=UrkWetRXYlvDQiBHVuP4iA%3D%3D,Suporte Tecnico,LinkedIn,0,MINIMA,
